,content,polygon,spans
20,4.11.1 Amending Fees,"[0.6033000000000001, 4.0711, 1.744, 4.0711, 1.744, 4.1979, 0.6033000000000001, 4.1979]","[{'offset': 46069, 'length': 20}]"
21,Amending fees will be applicable for all changes to marine order post invoicing which arise,"[0.6134000000000001, 4.2993, 5.237, 4.2993, 5.237, 4.4361, 0.6134000000000001, 4.4361]","[{'offset': 46090, 'length': 91}]"
22,from customer initiated requests,"[0.6033000000000001, 4.4513, 2.2915, 4.4564, 2.2915, 4.5832, 0.6033000000000001, 4.5781]","[{'offset': 46182, 'length': 32}]"
23,Amending Fee per request ..,"[0.6084, 4.6896, 2.0177, 4.6947, 2.0177, 4.8265, 0.6084, 4.8265]","[{'offset': 46215, 'length': 27}]"
24,459.37,"[4.8669, 4.6947, 5.2218, 4.6998, 5.2218, 4.8113, 4.8669, 4.8062000000000005]","[{'offset': 46243, 'length': 6}]"
25,4.11.2 Split Account Fees,"[0.6084, 4.9279, 1.891, 4.9279, 1.891, 5.0597, 0.6084, 5.0547]","[{'offset': 46250, 'length': 25}]"
26,PRIOR to vessel sailing per party.,"[0.6185, 5.0851, 2.2814, 5.0902, 2.2814, 5.2169, 0.6134000000000001, 5.2068]","[{'offset': 46276, 'length': 34}]"
27,470.98,"[4.8618, 5.0851, 5.2218, 5.0851, 5.2218, 5.1966, 4.8618, 5.2017]","[{'offset': 46311, 'length': 6}]"
28,AFTER vessel sailing will result in the split account fee being levied twice per party.,"[0.6084, 5.2321, 4.7909, 5.2321, 4.7909, 5.3741, 0.6084, 5.369]","[{'offset': 46318, 'length': 87}]"
29,Credit & Re-debit of marine invoice as per client's request after vessel sailing will result in,"[0.6033000000000001, 5.4603, 5.2421, 5.4603, 5.2421, 5.6123, 0.6033000000000001, 5.6123]","[{'offset': 46406, 'length': 95}]"
30,a fee being levied twice.,"[0.5982000000000001, 5.6174, 1.8504, 5.6174, 1.8504, 5.7594, 0.6033000000000001, 5.7594]","[{'offset': 46502, 'length': 25}]"
31,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5628000000000001, 9.6679, 0.5628000000000001, 9.6679, 0.6946, 6.6971, 0.6946]","[{'offset': 46528, 'length': 60}]"
32,SECTION 5,"[8.2788, 0.8771, 9.1305, 0.8771, 9.1305, 1.0292, 8.2839, 1.0292]","[{'offset': 46589, 'length': 9}]"
33,"PORT SERVICE LICENCE, PORT RULE LICENCE, PORT RULE REGISTRATION AND PORT RULE","[6.4132, 1.1103, 11.0215, 1.1103, 11.0215, 1.2421, 6.4132, 1.2421]","[{'offset': 46599, 'length': 77}]"
34,PERMIT FEES,"[6.4233, 1.2675, 7.0976, 1.2675, 7.0976, 1.3942, 6.4233, 1.3891]","[{'offset': 46677, 'length': 11}]"
35,5.1 FEES PAYABLE FOR PORT SERVICE LICENCE TO BE ISSUED BY THE,"[6.4486, 1.521, 10.7629, 1.521, 10.7629, 1.6680000000000001, 6.4486, 1.6680000000000001]","[{'offset': 46689, 'length': 61}]"
36,"AUTHORITY IN TERMS OF SECTION 57 OF THE NATIONAL PORTS ACT,","[6.4537, 1.7288000000000001, 10.8136, 1.7339, 10.8086, 1.8860000000000001, 6.4537, 1.8809]","[{'offset': 46751, 'length': 59}]"
37,No. 12 of 2005,"[6.4537, 1.9468, 7.3865, 1.9468, 7.3865, 2.0888, 6.4537, 2.0888]","[{'offset': 46811, 'length': 14}]"
38,"Licence fees are payable in equal installments, on an annual basis, over the period of the","[6.4182, 2.2105, 11.0519, 2.2105, 11.0519, 2.3524, 6.4182, 2.3524]","[{'offset': 46826, 'length': 90}]"
39,licence.,"[6.4132, 2.3727, 6.8187, 2.3778, 6.8187, 2.4893, 6.4132, 2.4842]","[{'offset': 46917, 'length': 8}]"
40,Fee for duration of licence per port,"[6.4182, 2.6718, 8.2382, 2.6769, 8.2382, 2.8087, 6.4182, 2.7986]","[{'offset': 46926, 'length': 36}]"
41,Floating crane services licence fee.,"[6.4233, 2.9152, 8.1622, 2.9152, 8.1622, 3.0369, 6.4233, 3.0419]","[{'offset': 46963, 'length': 36}]"
42,22 576.31,"[10.5095, 2.9152, 11.0215, 2.9152, 11.0215, 3.0318, 10.5095, 3.0267]","[{'offset': 47000, 'length': 9}]"
43,Stevedore services licence fee.,"[6.4182, 3.0673, 7.9594000000000005, 3.0673, 7.9594000000000005, 3.1889, 6.4182, 3.1889]","[{'offset': 47010, 'length': 31}]"
44,22 576.31,"[10.5044, 3.0673, 11.0164, 3.0673, 11.0164, 3.1788, 10.5044, 3.1788]","[{'offset': 47042, 'length': 9}]"
45,Waste disposal services licence fee.,"[6.4233, 3.2194, 8.218, 3.2194, 8.218, 3.341, 6.4233, 3.3461]","[{'offset': 47052, 'length': 36}]"
46,22 576.31,"[10.4993, 3.2143, 11.0114, 3.2194, 11.0114, 3.336, 10.4993, 3.3309]","[{'offset': 47089, 'length': 9}]"
47,"5.2 FEES PAYABLE FOR LICENCES, REGISTRATION AND PERMITS TO BE","[6.4689, 3.4222, 10.8643, 3.4222, 10.8643, 3.5641, 6.4689, 3.559]","[{'offset': 47099, 'length': 61}]"
48,ISSUED BY THE AUTHORITY IN TERMS OF PORT RULES MADE BY THE,"[6.4689, 3.6351, 10.7883, 3.6351, 10.7883, 3.7720000000000002, 6.4689, 3.7771]","[{'offset': 47161, 'length': 58}]"
49,"AUTHORITY IN TERMS OF SECTION 80(2) OF THE NATIONAL PORTS ACT,","[6.474, 3.8379000000000003, 10.9961, 3.8379000000000003, 10.9961, 3.9951, 6.474, 3.99]","[{'offset': 47220, 'length': 62}]"
50,No. 12 of 2005:,"[6.474, 4.0458, 7.4423, 4.0458, 7.4423, 4.2131, 6.474, 4.2131]","[{'offset': 47283, 'length': 15}]"
51,2.1 Port Rule Licences (Fee for duration of licence) per port,"[6.4081, 4.2942, 9.4702, 4.2993, 9.4702, 4.4311, 6.4081, 4.4209]","[{'offset': 47299, 'length': 61}]"
52,Bunkering licence fee.,"[6.4132, 4.5325, 7.5133, 4.5375, 7.5133, 4.6592, 6.4132, 4.6592]","[{'offset': 47361, 'length': 22}]"
53,22 576.31,"[10.5247, 4.5375, 11.0316, 4.5325, 11.0316, 4.6491, 10.5247, 4.6491]","[{'offset': 47384, 'length': 9}]"
54,Diving licence fee.,"[6.4132, 4.6896, 7.3156, 4.6896, 7.3156, 4.8113, 6.4132, 4.8113]","[{'offset': 47394, 'length': 19}]"
55,22 576.31,"[10.5247, 4.6896, 11.0367, 4.6896, 11.0367, 4.8062000000000005, 10.5247, 4.8062000000000005]","[{'offset': 47414, 'length': 9}]"
56,Fire protection and fire equipment installation and maintenance licence fee.,"[6.4081, 4.8417, 10.276299999999999, 4.8417, 10.276299999999999, 4.9685, 6.4081, 4.9685]","[{'offset': 47424, 'length': 76}]"
57,22 576.31,"[10.5044, 4.8417, 11.0215, 4.8417, 11.0215, 4.9583, 10.5044, 4.9533000000000005]","[{'offset': 47501, 'length': 9}]"
58,Pest control licence fee ..,"[6.4081, 4.9938, 7.6552, 4.9938, 7.6552, 5.1155, 6.4081, 5.1155]","[{'offset': 47511, 'length': 27}]"
59,22 576.31,"[10.5044, 4.9938, 11.0164, 4.9938, 11.0164, 5.1104, 10.5044, 5.1054]","[{'offset': 47539, 'length': 9}]"
60,Pollution control licence fee.,"[6.4081, 5.1408, 7.8631, 5.1408, 7.8631, 5.2676, 6.4081, 5.2676]","[{'offset': 47549, 'length': 30}]"
61,22 576.31,"[10.5196, 5.1459, 11.0266, 5.1459, 11.0266, 5.2575, 10.5145, 5.2575]","[{'offset': 47580, 'length': 9}]"
62,2.2 Port Rule Registration (Fee for duration of registration) per port,"[6.4081, 5.445, 9.911200000000001, 5.445, 9.911200000000001, 5.5819, 6.4081, 5.5769]","[{'offset': 47590, 'length': 70}]"
63,Vessel agent registration fee.,"[6.4081, 5.6884, 7.8783, 5.6833, 7.8783, 5.8151, 6.4081, 5.8202]","[{'offset': 47661, 'length': 30}]"
64,742.65,"[10.6463, 5.6935, 10.9961, 5.6935, 10.9961, 5.805, 10.6463, 5.7999]","[{'offset': 47692, 'length': 6}]"
65,2.3 Port Rule access permit for persons and vehicles,"[6.4081, 5.9216, 9.1102, 5.9216, 9.1102, 6.0585, 6.4081, 6.0585]","[{'offset': 47699, 'length': 52}]"
66,Persons ad hoc access permit fee.,"[6.4081, 6.1599, 8.1216, 6.165, 8.1216, 6.2917, 6.4081, 6.2917]","[{'offset': 47752, 'length': 33}]"
67,free,"[10.7934, 6.165, 11.0114, 6.17, 11.0114, 6.2765, 10.7934, 6.2714]","[{'offset': 47786, 'length': 4}]"
68,Persons longer-term access permit fee.,"[6.4081, 6.312, 8.3954, 6.312, 8.3954, 6.4489, 6.4081, 6.4489]","[{'offset': 47791, 'length': 38}]"
69,Motor vehicle access permit fee per financial year,"[6.4132, 6.4641, 8.948, 6.4692, 8.948, 6.601, 6.4132, 6.5959]","[{'offset': 47830, 'length': 50}]"
70,328.69,"[10.6818, 6.4742, 11.0266, 6.4742, 11.0266, 6.5807, 10.6768, 6.5756]","[{'offset': 47881, 'length': 6}]"
71,2.4 Port Rule permits for small vessels and pleasure vessels,"[6.4030000000000005, 6.6973, 9.4905, 6.7024, 9.4905, 6.8342, 6.4030000000000005, 6.8291]","[{'offset': 47888, 'length': 60}]"
72,Small vessel permit fee ..,"[6.4081, 6.9356, 7.6299, 6.9356, 7.6299, 7.0674, 6.4081, 7.0725]","[{'offset': 47949, 'length': 26}]"
73,free,"[10.8035, 6.9407, 11.0164, 6.9407, 11.0164, 7.0522, 10.7984, 7.0471]","[{'offset': 47976, 'length': 4}]"
74,Pleasure vessel permit fee.,"[6.4081, 7.0877, 7.7769, 7.0927, 7.7769, 7.2195, 6.4081, 7.2195]","[{'offset': 47981, 'length': 27}]"
75,free,"[10.7832, 7.0927, 11.0063, 7.0978, 11.0063, 7.2043, 10.7832, 7.2043]","[{'offset': 48009, 'length': 4}]"
76,free,"[10.8086, 6.3221, 11.0316, 6.3221, 11.0316, 6.4235, 10.8086, 6.4185]","[{'offset': 48014, 'length': 4}]"
77,2.5 Replacement of permits,"[6.4132, 7.326, 7.858, 7.331, 7.858, 7.4629, 6.4132, 7.4629]","[{'offset': 48019, 'length': 26}]"
78,Permit replacement fee ..,"[6.4132, 7.5693, 7.6754999999999995, 7.5693, 7.6754999999999995, 7.6961, 6.4182, 7.6961]","[{'offset': 48046, 'length': 25}]"
79,418.76,"[10.6666, 7.5693, 11.0316, 7.5693, 11.0316, 7.6859, 10.6666, 7.6859]","[{'offset': 48072, 'length': 6}]"
80,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9632, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 48079, 'length': 35}]"
81,32,"[10.8187, 7.7924, 11.0316, 7.7924, 11.0316, 7.9343, 10.8288, 7.9242]","[{'offset': 48115, 'length': 2}]"
82,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 48118, 'length': 33}]"
83,31,"[5.0139, 7.8076, 5.2015, 7.8025, 5.2066, 7.9394, 5.0139, 7.9343]","[{'offset': 48152, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8771, 0.5678000000000001, 3.8327, 0.5678000000000001, 3.8327, 0.6895, 0.8771, 0.6946]","[{'offset': 48155, 'length': 60}]"
1,5.3. FEES PAYABLE FOR LICENCES FOR ENVIRONMENTAL COMPLIANCE,"[0.6084, 0.9024000000000001, 5.0595, 0.9024000000000001, 5.0595, 1.0444, 0.6084, 1.0444]","[{'offset': 48216, 'length': 59}]"
2,Hull Cleaning Permit Fee per annum,"[0.5577, 1.5159, 2.4233000000000002, 1.5159, 2.4233000000000002, 1.6578, 0.5577, 1.6477]","[{'offset': 48276, 'length': 34}]"
3,18 959.00,"[4.6236, 1.521, 5.166, 1.521, 5.166, 1.6376, 4.6236, 1.6376]","[{'offset': 48311, 'length': 9}]"
4,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5678000000000001, 9.6628, 0.5628000000000001, 9.6628, 0.6946, 6.6971, 0.6996]","[{'offset': 48321, 'length': 60}]"
5,SECTION 6,"[8.2889, 0.7909, 9.1457, 0.7909, 9.1457, 0.9430000000000001, 8.2889, 0.9430000000000001]","[{'offset': 48382, 'length': 9}]"
6,"DRYDOCKS, FLOATING DOCKS, SYNCROLIFTS AND SLIPWAYS","[6.4486, 1.1103, 9.5766, 1.1103, 9.5766, 1.2421, 6.4486, 1.2421]","[{'offset': 48392, 'length': 50}]"
7,6.1 GENERAL TERMS AND CONDITIONS,"[6.4486, 1.3486, 9.242, 1.3486, 9.242, 1.4905, 6.4486, 1.4956]","[{'offset': 48443, 'length': 32}]"
8,"""Ordinary working hours""","[6.3726, 1.7694, 7.7211, 1.7745000000000002, 7.7211, 1.9113, 6.3726, 1.9062999999999999]","[{'offset': 48476, 'length': 24}]"
9,Ports of Cape Town and East London,"[6.3625, 2.0178, 8.2737, 2.0178, 8.2737, 2.1496, 6.3625, 2.1547]","[{'offset': 48501, 'length': 34}]"
10,According to the custom of the facility.,"[6.3625, 2.1699, 8.3396, 2.1699, 8.3396, 2.3068, 6.3625, 2.3068]","[{'offset': 48536, 'length': 40}]"
11,Port of Durban,"[6.3675, 2.4082, 7.1533, 2.4133, 7.1483, 2.5349, 6.3675, 2.5349]","[{'offset': 48577, 'length': 14}]"
12,07h00 - 17h00 Weekdays,"[6.3625, 2.5603, 7.6704, 2.5654, 7.6704, 2.6972, 6.3625, 2.6870000000000003]","[{'offset': 48592, 'length': 22}]"
13,"""Week-ends and Public Holidays""","[6.3675, 2.8543000000000003, 8.1115, 2.8594, 8.1115, 3.0014, 6.3675, 2.9963]","[{'offset': 48615, 'length': 31}]"
14,"Special permission must be obtained for work to be undertaken on Saturdays, Sundays","[6.3675, 3.0977, 10.9961, 3.0977, 10.9961, 3.2498, 6.3675, 3.2447]","[{'offset': 48647, 'length': 83}]"
15,and public holidays. Special arrangements must also be made for the provision of salt wa-,"[6.3675, 3.2498, 11.0012, 3.2498, 11.0012, 3.3917, 6.3675, 3.3917]","[{'offset': 48731, 'length': 89}]"
16,"ter, compressed air, cranage etc. outside normal working hours.","[6.3625, 3.412, 9.6223, 3.407, 9.6223, 3.5438, 6.3625, 3.5489]","[{'offset': 48821, 'length': 63}]"
17,"""Tonnage of vessels for tariff purposes""","[6.3625, 3.7061, 8.4309, 3.7061, 8.4309, 3.848, 6.3625, 3.848]","[{'offset': 48885, 'length': 40}]"
18,"The gross tonnage of a vessel in cubic metres (conversion factor 2,83) of a vessel as per","[6.3675, 4.0103, 11.0063, 4.0103, 11.0063, 4.1522, 6.3675, 4.1522]","[{'offset': 48926, 'length': 89}]"
19,"the tonnage certificate issued in terms of the Tonnage Convention 1969,","[6.3625, 4.1674, 10.0633, 4.1674, 10.0633, 4.2993, 6.3625, 4.2993]","[{'offset': 49016, 'length': 71}]"
20,Plus,"[6.3726, 4.4209, 6.5906, 4.4159, 6.5906, 4.5222999999999995, 6.3726, 4.5173]","[{'offset': 49088, 'length': 4}]"
21,"The tonnage is mass, of all cargo on board.","[6.3675, 4.6389, 8.5475, 4.6389, 8.5475, 4.7809, 6.3675, 4.7809]","[{'offset': 49093, 'length': 43}]"
22,Where the vessel's tonnage certificate is not available the highest tonnage as reflected in,"[6.3675, 4.9431, 11.0012, 4.9482, 11.0012, 5.0851, 6.3675, 5.08]","[{'offset': 49137, 'length': 91}]"
23,"Lloyds Register of Shipping converted (x2,83) to cubic metres is accepted.","[6.3726, 5.1003, 10.0937, 5.0952, 10.0937, 5.2372, 6.3726, 5.2372]","[{'offset': 49229, 'length': 74}]"
24,6.2 BOOKING FEES,"[6.3979, 5.4552, 7.7363, 5.4501, 7.7363, 5.5971, 6.3979, 5.6022]","[{'offset': 49304, 'length': 16}]"
25,6.2.1 Bookings at the Ports of Cape Town and East London,"[6.3827, 5.8456, 9.4144, 5.8405000000000005, 9.4144, 5.9824, 6.3827, 5.9824]","[{'offset': 49321, 'length': 56}]"
26,"The following deposits are required for the use of a drydock, floating dock or syncrolift","[6.3878, 6.0838, 11.0114, 6.0838, 11.0114, 6.2258, 6.3878, 6.2207]","[{'offset': 49378, 'length': 89}]"
27,when a firm booking has been made:,"[6.3878, 6.2359, 8.2839, 6.2359, 8.2839, 6.3678, 6.3878, 6.3627]","[{'offset': 49468, 'length': 34}]"
28,Drydock,"[6.3878, 6.4793, 6.8238, 6.4742, 6.8238, 6.601, 6.3878, 6.601]","[{'offset': 49503, 'length': 7}]"
29,56 222.56,"[10.4841, 6.4692, 11.0063, 6.4692, 11.0012, 6.5959, 10.4841, 6.5858]","[{'offset': 49511, 'length': 9}]"
30,Syncrolift.,"[6.3878, 6.7176, 6.8897, 6.7125, 6.8897, 6.8342, 6.3878, 6.8393]","[{'offset': 49521, 'length': 11}]"
31,14 055.64,"[10.4993, 6.7074, 11.0164, 6.7074, 11.0164, 6.8291, 10.4993, 6.824]","[{'offset': 49533, 'length': 9}]"
32,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 49543, 'length': 33}]"
33,33,"[5.0139, 7.8076, 5.2066, 7.8076, 5.2116, 7.9343, 5.0139, 7.9343]","[{'offset': 49577, 'length': 2}]"
34,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9632, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 49580, 'length': 35}]"
35,34,"[10.8238, 7.7924, 11.0266, 7.7924, 11.0266, 7.9343, 10.8288, 7.9293]","[{'offset': 49616, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8111, 0.5628000000000001, 3.7617000000000003, 0.5628000000000001, 3.7617000000000003, 0.6946, 0.8111, 0.6946]","[{'offset': 49619, 'length': 60}]"
1,6.2.2 Bookings at the Port of Durban,"[0.5881000000000001, 0.7909, 2.4943, 0.7909, 2.4943, 0.9176000000000001, 0.5881000000000001, 0.9227000000000001]","[{'offset': 49680, 'length': 36}]"
2,The following deposits are required for the use of a drydock or floating dock when a firm,"[0.5881000000000001, 1.0241, 5.2066, 1.0241, 5.2066, 1.1559, 0.5881000000000001, 1.1559]","[{'offset': 49717, 'length': 89}]"
3,booking has been made:,"[0.5881000000000001, 1.1863000000000001, 1.8352, 1.1813, 1.8352, 1.3131, 0.5881000000000001, 1.3131]","[{'offset': 49807, 'length': 22}]"
4,Drydock ..,"[0.5932000000000001, 1.4196, 1.0545, 1.4196, 1.0545, 1.5463, 0.5932000000000001, 1.5463]","[{'offset': 49830, 'length': 10}]"
5,56 222.56,"[4.6692, 1.4196, 5.1812, 1.4246, 5.1812, 1.5311, 4.6692, 1.5311]","[{'offset': 49841, 'length': 9}]"
6,6.2.3 Bookings for Slipways at the port of Mossel Bay and Port Elizabeth,"[0.583, 1.6528, 4.3244, 1.6528, 4.3244, 1.7897, 0.583, 1.7897]","[{'offset': 49851, 'length': 72}]"
7,The following deposits are required for the use of slipway when a firm booking has been,"[0.583, 1.8911, 5.2015, 1.8911, 5.2015, 2.0279, 0.583, 2.0279]","[{'offset': 49924, 'length': 87}]"
8,made:,"[0.5881000000000001, 2.0533, 0.9176000000000001, 2.0482, 0.9176000000000001, 2.1648, 0.5932000000000001, 2.1648]","[{'offset': 50012, 'length': 5}]"
9,Slipways.,"[0.583, 2.2003, 1.0545, 2.2054, 1.0545, 2.3321, 0.583, 2.3321]","[{'offset': 50018, 'length': 9}]"
10,1 686.68,"[4.73, 2.2054, 5.1863, 2.2054, 5.1863, 2.3169, 4.73, 2.3169]","[{'offset': 50028, 'length': 8}]"
11,6.3 PENALTIES,"[0.6185, 2.5501, 1.6781000000000001, 2.5501, 1.6781000000000001, 2.6972, 0.6185, 2.6921]","[{'offset': 50037, 'length': 13}]"
12,1. Should the booking not be taken up or cancelled within 60 consecutive days prior to,"[0.5881000000000001, 2.8036000000000003, 5.2015, 2.8036000000000003, 5.2015, 2.9455999999999998, 0.5881000000000001, 2.9405]","[{'offset': 50051, 'length': 86}]"
13,"the booked date, the deposit will be forfeited. If the booking is cancelled greater than","[0.7909, 2.9557, 5.2015, 2.9608, 5.2015, 3.0977, 0.7909, 3.0977]","[{'offset': 50138, 'length': 88}]"
14,"60 days, a full refund will be given","[0.801, 3.118, 2.5348, 3.1129, 2.5348, 3.2549, 0.801, 3.2549]","[{'offset': 50227, 'length': 36}]"
15,2.,"[0.583, 3.2853, 0.7402000000000001, 3.2853, 0.7402000000000001, 3.407, 0.583, 3.3968]","[{'offset': 50264, 'length': 2}]"
16,"Vessels that exceed their allocated scheduled booking dates for the dry-dock, floating","[0.7858, 3.2802, 5.2116, 3.2853, 5.2116, 3.4272, 0.7858, 3.4222]","[{'offset': 50267, 'length': 86}]"
17,"dock and syncrolift occupancy period will incur a 40% penalty on dry-dock, floating","[0.801, 3.4323, 5.2116, 3.4323, 5.2116, 3.5743, 0.801, 3.5743]","[{'offset': 50354, 'length': 83}]"
18,dock and syncrolift dues for each subsequent 12-hour period of the vessel's overstay,"[0.801, 3.5945, 5.2015, 3.5945, 5.2015, 3.7365, 0.801, 3.7314]","[{'offset': 50438, 'length': 84}]"
19,on the ship repair facility.,"[0.801, 3.7416, 2.1191, 3.7466, 2.1191, 3.8835, 0.801, 3.8785]","[{'offset': 50523, 'length': 28}]"
20,6.4 PREPARATION,"[0.6084, 3.9646, 1.9011, 3.9646, 1.9011, 4.1117, 0.6084, 4.1117]","[{'offset': 50552, 'length': 15}]"
21,6.4.1 Preparation at the Ports of Cape Town and East London,"[0.5627, 4.2587, 3.7313, 4.2587, 3.7313, 4.3905, 0.5627, 4.3956]","[{'offset': 50568, 'length': 59}]"
22,"Note: Should the booking of a drydock be cancelled after the preparatory work has begun,","[0.5627, 4.4919, 5.1964, 4.497, 5.1964, 4.6389, 0.5627, 4.6339]","[{'offset': 50628, 'length': 88}]"
23,preparation fees are payable.,"[0.5627, 4.6592, 2.0583, 4.6541, 2.0583, 4.7809, 0.5627, 4.791]","[{'offset': 50717, 'length': 29}]"
24,Tons shall mean gross tonnage in cubic metres,"[0.5678000000000001, 4.8874, 2.9404, 4.8924, 2.9404, 5.0242, 0.5678000000000001, 5.0192]","[{'offset': 50747, 'length': 45}]"
25,Vessels up to 1 000 tons ..,"[0.5678000000000001, 5.1307, 1.8403, 5.1307, 1.8403, 5.2575, 0.5678000000000001, 5.2575]","[{'offset': 50793, 'length': 27}]"
26,2 158.96,"[4.7351, 5.1307, 5.1863, 5.1307, 5.1863, 5.2422, 4.7351, 5.2422]","[{'offset': 50821, 'length': 8}]"
27,Vessels from 1 001 up to 10 000 tons.,"[0.5627, 5.3284, 2.474, 5.3284, 2.474, 5.4653, 0.5627, 5.4603]","[{'offset': 50830, 'length': 37}]"
28,4 317.91,"[4.7249, 5.3335, 5.1761, 5.3335, 5.1761, 5.4501, 4.7249, 5.445]","[{'offset': 50868, 'length': 8}]"
29,Vessels from 10 001 up to 20 000 tons.,"[0.5678000000000001, 5.5312, 2.5348, 5.5312, 2.5348, 5.6681, 0.5678000000000001, 5.663]","[{'offset': 50877, 'length': 38}]"
30,8 635.78,"[4.73, 5.5363, 5.1761, 5.5363, 5.1761, 5.6478, 4.73, 5.6478]","[{'offset': 50916, 'length': 8}]"
31,Vessels from 20 001 up to 50 000 tons.,"[0.5627, 5.734, 2.5399000000000003, 5.734, 2.5399000000000003, 5.8709, 0.5627, 5.8658]","[{'offset': 50925, 'length': 38}]"
32,12 953.72,"[4.6743, 5.7391000000000005, 5.1761, 5.7391000000000005, 5.1761, 5.8557, 4.6743, 5.8506]","[{'offset': 50964, 'length': 9}]"
33,Vessels above 50 000 tons.,"[0.5678000000000001, 5.9368, 1.9316, 5.9368, 1.9316, 6.0636, 0.5678000000000001, 6.0636]","[{'offset': 50974, 'length': 26}]"
34,17 271.56,"[4.6793, 5.9368, 5.1863, 5.9368, 5.1863, 6.0636, 4.6793, 6.0636]","[{'offset': 51001, 'length': 9}]"
35,6.4.2 Preparation at the Port of Durban,"[0.5627, 6.241, 2.6109, 6.241, 2.6109, 6.3728, 0.5627, 6.3728]","[{'offset': 51011, 'length': 39}]"
36,"The following fees for the preparation of a drydock and floating dock per vessel, are paya-","[0.5577, 6.4793, 5.1812, 6.4793, 5.1812, 6.6213, 0.5577, 6.6162]","[{'offset': 51051, 'length': 91}]"
37,ble:,"[0.5627, 6.6365, 0.7605000000000001, 6.6365, 0.7605000000000001, 6.748, 0.5678000000000001, 6.748]","[{'offset': 51143, 'length': 4}]"
38,Drydock.,"[0.5627, 6.7886, 1.0241, 6.7835, 1.0241, 6.9102, 0.5627, 6.9153]","[{'offset': 51148, 'length': 8}]"
39,.. 17 282.81,"[4.5881, 6.7784, 5.1559, 6.7835, 5.1559, 6.9102, 4.5881, 6.9052]","[{'offset': 51157, 'length': 12}]"
40,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5628000000000001, 9.6578, 0.5628000000000001, 9.6578, 0.6946, 6.6971, 0.6996]","[{'offset': 51170, 'length': 60}]"
41,6.5 DOCKING AND UNDOCKING OF VESSELS,"[6.3929, 0.801, 9.4955, 0.801, 9.4955, 0.9531000000000001, 6.3929, 0.9531000000000001]","[{'offset': 51231, 'length': 36}]"
42,6.5.1 Docking and undocking of vessels at the Ports of Cape Town and East London,"[6.3574, 1.1559, 10.6413, 1.1559, 10.6413, 1.2928, 6.3574, 1.2979]","[{'offset': 51268, 'length': 80}]"
43,"The following fees are payable, per service, for the docking and undocking of vessels (the","[6.3523, 1.4652, 10.9911, 1.4703, 10.9911, 1.6122, 6.3523, 1.6071]","[{'offset': 51349, 'length': 90}]"
44,docking and undocking are regarded as separate services):,"[6.3523, 1.6173000000000002, 9.3282, 1.6224, 9.3282, 1.7591999999999999, 6.3523, 1.7542]","[{'offset': 51440, 'length': 57}]"
45,Drydock.,"[6.3625, 1.9316, 6.7984, 1.9316, 6.7984, 2.0533, 6.3625, 2.0533]","[{'offset': 51498, 'length': 8}]"
46,13 083.00,"[10.4537, 1.9266, 10.9759, 1.9266, 10.9759, 2.0482, 10.4537, 2.0482]","[{'offset': 51507, 'length': 9}]"
47,Syncrolift.,"[6.3523, 2.175, 6.8694, 2.1699, 6.8745, 2.2916, 6.3523, 2.2967]","[{'offset': 51517, 'length': 11}]"
48,5 771.23,"[10.5196, 2.1699, 10.9759, 2.1648, 10.9759, 2.2865, 10.5196, 2.2916]","[{'offset': 51529, 'length': 8}]"
49,In the event of a request for services outside ordinary working hours being cancelled after,"[6.3625, 2.469, 10.9911, 2.469, 10.9911, 2.6059, 6.3625, 2.6059]","[{'offset': 51538, 'length': 91}]"
50,"the staff have been brought on duty, fees are payable as if the service was rendered.","[6.3523, 2.6211, 10.6565, 2.6161, 10.6565, 2.758, 6.3523, 2.7631]","[{'offset': 51630, 'length': 85}]"
51,6.5.2 Docking and undocking of vessels at the Port of Durban,"[6.3523, 2.9253, 9.5209, 2.9202, 9.5209, 3.0622, 6.3523, 3.0673]","[{'offset': 51716, 'length': 60}]"
52,"The following fees are payable, per service, for the docking and undocking of vessels (the","[6.3523, 3.2244, 10.986, 3.2244, 10.986, 3.3715, 6.3523, 3.3715]","[{'offset': 51777, 'length': 90}]"
53,docking and undocking are regarded as separate services):,"[6.3574, 3.3816, 9.3232, 3.3816, 9.3232, 3.5185, 6.3574, 3.5185]","[{'offset': 51868, 'length': 57}]"
